strategy,num_nodes,total_decisions,num_offloaded_sources,num_offloaded_targets,total_offloaded_load,congested_before,congested_after,congestion_reduction_pct,mean_load_before,mean_load_after,max_load_before,max_load_after,std_before,std_after,jain_fairness_before,jain_fairness_after
greedy,20,10,4,5,0.446931529045105,8,6,25.0,0.6034582853317261,0.6034582853317261,0.8284673690795898,0.7584226131439209,0.1823022961616516,0.1252274066209793,0.9163702165784826,0.9587148435628443
load_balance,20,11,4,5,0.4614403247833253,8,5,37.5,0.6034582853317261,0.6034582257270813,0.8284673690795898,0.7584226131439209,0.1823022961616516,0.12360557168722153,0.9163702165784826,0.9597343772572335
latency_aware,20,12,5,5,0.4995538473129274,8,4,50.0,0.6034582853317261,0.6034582257270813,0.8284673690795898,0.7584226131439209,0.1823022961616516,0.1189064010977745,0.9163702165784826,0.9626255426242692
hybrid,20,12,5,5,0.4995538473129274,8,4,50.0,0.6034582853317261,0.6034582257270813,0.8284673690795898,0.7584226131439209,0.1823022961616516,0.1189064010977745,0.9163702165784826,0.9626255426242692
