cell_id,MSE,MAE,RMSE,R2,MAPE(%),Correlation
CELL_001,0.02745405025780201,0.13816013932228088,0.16569264233112335,-0.0029833316802978516,24.402286112308502,0.2115595496561799
CELL_002,0.024280447512865067,0.1154332384467125,0.15582184493541718,0.08109962940216064,27.746856212615967,0.30655128647672014
CELL_003,0.03492017835378647,0.15439830720424652,0.18686941266059875,-0.39571309089660645,23.66974949836731,-0.022502066505944416
CELL_004,0.022634189575910568,0.12065891921520233,0.15044663846492767,0.1092730164527893,19.51085776090622,0.3328273201344215
CELL_005,0.028147133067250252,0.1313222050666809,0.16777107119560242,0.10209774971008301,26.241445541381836,0.33685844560046485
CELL_006,0.014030945487320423,0.09197989106178284,0.1184522956609726,0.10076159238815308,21.112076938152313,0.38013614084650144
CELL_007,0.012113504111766815,0.0879114493727684,0.11006136238574982,0.12660276889801025,17.749695479869843,0.41143837668441513
CELL_008,0.014912446029484272,0.09328377991914749,0.12211652845144272,0.20609688758850098,26.022949814796448,0.5064395115338393
CELL_009,0.008816857822239399,0.07452843338251114,0.09389812499284744,-0.06099104881286621,13.751399517059326,0.25442467144210146
CELL_010,0.015808159485459328,0.10370953381061554,0.125730499625206,-0.5068981647491455,23.827067017555237,0.19454083142606732
CELL_011,0.011014771647751331,0.08344939351081848,0.10495128482580185,0.0726851224899292,43.387243151664734,0.41973411855103704
CELL_012,0.013641302473843098,0.09260423481464386,0.11679598689079285,-0.0073397159576416016,35.37357747554779,0.2139106910359737
CELL_013,0.011662246659398079,0.08596771210432053,0.10799188166856766,-0.08397102355957031,28.348734974861145,-0.006813114486018496
CELL_014,0.010854427702724934,0.08161620050668716,0.1041845828294754,0.095958411693573,30.098602175712585,0.48448884418440946
CELL_015,0.01708371751010418,0.10293246805667877,0.13070470094680786,0.002829432487487793,142.3725962638855,0.21694615068499795
CELL_016,0.016203373670578003,0.10723917186260223,0.1272924691438675,0.011842727661132812,13.17988932132721,0.33329726509523355
CELL_017,0.023759717121720314,0.12520046532154083,0.1541418731212616,-0.08959817886352539,20.23460417985916,0.1489940610833552
CELL_018,0.0205825362354517,0.1201905831694603,0.14346614480018616,-0.09257054328918457,14.698272943496704,0.26428385142965843
CELL_019,0.023510048165917397,0.13123390078544617,0.15332986414432526,0.09165668487548828,17.71795004606247,0.4967544274817454
CELL_020,0.025607118383049965,0.13220544159412384,0.16002224385738373,-0.024591922760009766,18.03375780582428,0.3291624503781153
